Points,Song,Artist
2327,Gloria,Laura Branigan
2320,Bust A Move,Young M.C.
2307,Jessie's Girl,Rick Springfield
2208,Another One Bites The Dust,Queen
2165,Hurts So Good,John Cougar
2139,Red Red Wine,UB40
2133,Physical,Olivia Newton-John
2128,Celebration,Kool & The Gang
2116,Into The Night,Benny Mardones
2032,What About Me,Moving Pictures
2030,Don't You Want Me,The Human League
2025,Flashdance...What A Feeling,Irene Cara
2022,I'm So Excited,The Pointer Sisters
1995,"""Baby, Come To Me""",Patti Austin A Duet With James Ingram
1980,Bette Davis Eyes,Kim Carnes
1979,Eye Of The Tiger,Survivor
1976,Endless Love,Diana Ross & Lionel Richie
1972,Total Eclipse Of The Heart,Bonnie Tyler
1962,Abracadabra,The Steve Miller Band
1961,Upside Down,Diana Ross
1956,Centerfold,The J. Geils Band
1942,You And I,Eddie Rabbitt With Crystal Gayle
1933,I Love A Rainy Night,Eddie Rabbitt
1932,Call Me,Blondie
1929,What's Love Got To Do With It,Tina Turner
1913,Keep On Loving You,REO Speedwagon
1909,Waiting For A Girl Like You,Foreigner
1899,Queen Of Hearts,Juice Newton
1898,Down Under,Men At Work
1887,All Out Of Love,Air Supply
1885,All Night Long (All Night),Lionel Richie
1884,Harden My Heart,Quarterflash
1883,Islands In The Stream,Kenny Rogers Duet With Dolly Parton
1882,Woman In Love,Barbra Streisand
1875,Every Breath You Take,The Police
1873,Tainted Love,Soft Cell
1872,Lady,Kenny Rogers
1872,I Miss You,Klymaxx
1864,Another Brick In The Wall (Part II),Pink Floyd
1861,Back To Life,Soul II Soul
1855,"Theme From ""Greatest American Hero"" (Believe It or Not)",Joey Scarbury
1853,9 To 5,Dolly Parton
1840,Beat It,Michael Jackson
1838,(Just Like) Starting Over,John Lennon
1833,Mickey,Toni Basil
1828,Don't Know Much,Linda Ronstadt (Featuring Aaron Neville)
1826,Say Say Say,Paul McCartney And Michael Jackson
1822,Sweet Dreams (Are Made Of This),Eurythmics
1820,Key Largo,Bertie Higgins
1815,Do You Really Want To Hurt Me,Culture Club
1811,Hard To Say I'm Sorry,Chicago
1789,Start Me Up,The Rolling Stones
1788,Billie Jean,Michael Jackson
1785,Arthur's Theme (Best That You Can Do),Christopher Cross
1781,Being With You,Smokey Robinson
1771,Who Can It Be Now?,Men At Work
1761,I'll Always Love You,Taylor Dayne
1747,Break My Stride,Matthew Wilder
1744,Hands To Heaven,Breathe
1742,Maneater,Daryl Hall John Oates
1738,"Wind Beneath My Wings (From ""Beaches"")",Bette Midler
1730,Need You Tonight,INXS
1729,Only In My Dreams,Debbie Gibson
1728,Against All Odds (Take A Look At Me Now),Phil Collins
1727,Hello,Lionel Richie
1719,Rosanna,Toto
1718,Eye In The Sky,The Alan Parsons Project
1717,I Feel For You,Chaka Khan
1716,Footloose,Kenny Loggins
1715,Slow Hand,The Pointer Sisters
1714,Love Shack,The B-52s
1711,He's So Shy,The Pointer Sisters
1710,I Can't Go For That (No Can Do),Daryl Hall John Oates
1708,Owner Of A Lonely Heart,Yes
1708,A Woman Needs Love (Just Like You Do),Ray Parker Jr. & Raydio
1707,The Sweetest Thing (I've Ever Known),Juice Newton
1706,Making Love Out Of Nothing At All,Air Supply
1706,Shame On The Moon,Bob Seger & The Silver Bullet Band
1702,Jack & Diane,John Cougar
1701,It's Still Rock And Roll To Me,Billy Joel
1700,Just The Two Of Us,"""Grover Washington, Jr. With Bill Withers"""
1700,867-5309/jenny,Tommy Tutone
1695,That's What Friends Are For,Dionne & Friends
1695,I Just Called To Say I Love You,Stevie Wonder
1695,"""Wild, Wild West""",The Escape Club
1694,The Rose,Bette Midler
1692,The Tide Is High,Blondie
1691,Waiting For A Star To Fall,Boy Meets Girl
1688,Private Eyes,Daryl Hall John Oates
1684,Look Away,Chicago
1681,Straight Up,Paula Abdul
1669,Kiss On My List,Daryl Hall John Oates
1669,Here I Go Again,Whitesnake
1669,No More Lies,Michel'le
1668,The Winner Takes It All,ABBA
1663,"Kokomo (From""Cocktail"" )",The Beach Boys
1662,Wishing Well,Terence Trent D'Arby
1662,Steppin' Out,Joe Jackson
1660,You Should Hear How She Talks About You,Melissa Manchester
1658,Missing You,John Waite
